Date,Open,High,Low,Volume,Close
3/18/1999,3.321875,3.5,3.309375,246004000,3.460938
3/19/1999,3.546875,3.576563,3.375,214504000,3.376563
3/22/1999,3.329688,3.4125,3.2625,131968000,3.3
3/23/1999,3.215625,3.246875,2.95,224336000,2.984375
3/24/1999,2.929688,3.1,2.85,230876000,3.092188
3/25/1999,3.223438,3.5,3.204688,321996000,3.496875
3/26/1999,3.5,3.69375,3.434375,498440000,3.476563
3/29/1999,3.75,3.7875,3.7,377760000,3.740625
3/30/1999,3.8,4.2375,3.788281,523548000,4.117188
3/31/1999,4.28125,4.45,4.128125,441884000,4.304688
4/1/1999,4.484375,4.503125,4.1875,231464000,4.275
4/5/1999,4.315625,4.6875,4.29375,318336000,4.6625
4/6/1999,4.6125,4.89375,4.4875,290636000,4.571875
4/7/1999,4.665625,4.682813,4.28125,263332000,4.395313
4/8/1999,4.370313,4.603125,4.15,229756000,4.475
4/9/1999,4.453125,4.65,4.39375,136780000,4.571875
4/12/1999,4.403125,4.70625,4.4,171384000,4.610938
4/13/1999,4.66875,4.8,4.45625,160776000,4.459375
4/14/1999,4.55,4.6125,4.165625,199056000,4.2
4/15/1999,4.146875,4.2625,3.775,329968000,4.18125
4/16/1999,4.596875,4.7875,4.517188,633204000,4.75
4/19/1999,4.725,4.725,3.875,567396000,3.973438
4/20/1999,3.932813,4.357813,3.8375,400100000,4.3
4/21/1999,4.309375,4.55,4.225,221640000,4.48125
4/22/1999,4.607813,4.775,4.448438,250764000,4.751563
4/23/1999,4.821875,5.4125,4.79375,634336000,5.253125
4/26/1999,5.225,5.396875,5.1,279700000,5.179688
4/27/1999,5.425,5.53125,5.05,357908000,5.146875
4/28/1999,5,5.05,4.559375,389476000,4.8375
4/29/1999,4.310938,4.54375,4.125,844168000,4.20625
4/30/1999,4.425,4.5,4.125,355528000,4.301563
5/3/1999,4.171875,4.176563,3.753125,523728000,3.773438
5/4/1999,3.815625,4.0125,3.5125,433928000,3.575
5/5/1999,3.596875,3.70625,3.346875,554196000,3.6625
5/6/1999,3.7,3.775,3.39375,365688000,3.434375
